frame,time_sec,side,source,x_ankle,y_ankle
335,2.7945,left,range,0.9711465239524841,0.6312984824180603
336,2.8028,left,range,0.9437951445579529,0.6644466519355774
337,2.8111,left,range,0.9382852911949158,0.6680974960327148
338,2.8195,left,range,0.9413959980010986,0.6663397550582886
339,2.8278,left,range,0.939881443977356,0.6670783758163452
340,2.8362,left,range,0.9380359053611755,0.6673697233200073
341,2.8445,left,range,0.9394944906234741,0.6666173934936523
342,2.8529,left,range,0.9385446310043335,0.6659429669380188
343,2.8612,left,range,0.9393298625946045,0.6669430136680603
344,2.8695,left,range,0.9387478828430176,0.6664772033691406
345,2.8779,left,range,0.9384263157844543,0.6659796237945557
346,2.8862,left,range,0.9385566115379333,0.666355550289154
347,2.8946,left,range,0.9371749758720398,0.6657959818840027
348,2.9029,left,range,0.9361966848373413,0.6647056341171265
349,2.9112,left,range,0.9354899525642395,0.6639986634254456
350,2.9196,left,range,0.9340288043022156,0.6630899310112
351,2.9279,left,range,0.9319581389427185,0.6607488989830017
367,3.0614,right,range,0.8263562917709351,0.6650004982948303
368,3.0697,right,range,0.8258060812950134,0.6671178340911865
369,3.0781,right,range,0.8249222636222839,0.6673557758331299
370,3.0864,right,range,0.8254643082618713,0.6674098968505859
371,3.0948,right,range,0.825583815574646,0.6676898002624512
372,3.1031,right,range,0.824938952922821,0.6678454875946045
373,3.1114,right,range,0.8253527879714966,0.667640209197998
374,3.1198,right,range,0.8249109983444214,0.667868435382843
375,3.1281,right,range,0.8247936367988586,0.6680275201797485
376,3.1365,right,range,0.823231041431427,0.6665076017379761
377,3.1448,right,range,0.7913122177124023,0.6398680210113525
378,3.1532,right,range,0.7853184342384338,0.6415392160415649
379,3.1615,right,range,0.8027376532554626,0.6482401490211487
380,3.1698,right,range,0.7744728922843933,0.6425931453704834
381,3.1782,right,range,0.7621517181396484,0.6436758041381836
382,3.1865,right,range,0.7549540996551514,0.6447873115539551
396,3.3033,left,range,0.7141739130020142,0.6647518873214722
397,3.3116,left,range,0.7345614433288574,0.6221023201942444
398,3.32,left,range,0.7212875485420227,0.661910891532898
399,3.3283,left,range,0.715016782283783,0.66486656665802
400,3.3367,left,range,0.7140397429466248,0.6645025014877319
401,3.345,left,range,0.7137451767921448,0.6642573475837708
402,3.3534,left,range,0.7140651941299438,0.6641024351119995
403,3.3617,left,range,0.7139908075332642,0.6641845107078552
404,3.37,left,range,0.7134951949119568,0.6638230681419373
405,3.3784,left,range,0.7121323347091675,0.663499653339386
406,3.3867,left,range,0.703166663646698,0.6604211926460266
407,3.3951,left,range,0.7098305821418762,0.6599907279014587
408,3.4034,left,range,0.708639919757843,0.6593222618103027
427,3.5619,right,range,0.5960012674331665,0.6637226343154907
428,3.5702,right,range,0.595016598701477,0.6645020246505737
429,3.5786,right,range,0.594465434551239,0.6650685667991638
430,3.5869,right,range,0.5941028594970703,0.6655527949333191
431,3.5953,right,range,0.5949701070785522,0.6653531789779663
432,3.6036,right,range,0.5937314033508301,0.6649520397186279
433,3.6119,right,range,0.5941383838653564,0.6645926237106323
434,3.6203,right,range,0.5944297909736633,0.6637586355209351
435,3.6286,right,range,0.569451630115509,0.645892322063446
436,3.637,right,range,0.5603743195533752,0.6459677219390869
437,3.6453,right,range,0.5537017583847046,0.6474062204360962
438,3.6537,right,range,0.5450071096420288,0.6481061577796936
439,3.662,right,range,0.5382723808288574,0.6457349061965942
449,3.7454,left,range,0.49582377076148987,0.6632069945335388
450,3.7538,left,range,0.49596288800239563,0.6621518731117249
451,3.7621,left,range,0.49461448192596436,0.6635010242462158
452,3.7704,left,range,0.49423205852508545,0.6633610129356384
453,3.7788,left,range,0.49466919898986816,0.6635309457778931
454,3.7871,left,range,0.49487632513046265,0.6632187962532043
455,3.7955,left,range,0.4950978457927704,0.6701435446739197
456,3.8038,left,range,0.5024709105491638,0.6349082589149475
457,3.8121,left,range,0.49739596247673035,0.6161424517631531
458,3.8205,left,range,0.4911487400531769,0.6152188181877136
459,3.8288,left,range,0.4835137128829956,0.6146371364593506
460,3.8372,left,range,0.48206794261932373,0.616156816482544
461,3.8455,left,range,0.4894244372844696,0.6562477946281433
462,3.8538,left,range,0.48825040459632874,0.6556628346443176
