frame,time_sec,side,source,x_ankle,y_ankle
80,1.3333333333333333,left,range,0.9645904302597046,0.5525785684585571
81,1.35,left,range,0.9651294350624084,0.5461039543151855
82,1.3666666666666667,left,range,0.9372153878211975,0.5720505714416504
83,1.3833333333333333,left,range,0.930816113948822,0.5454111099243164
84,1.4,left,range,0.9298806190490723,0.6011837124824524
85,1.4166666666666667,left,range,0.9114493727684021,0.616144061088562
86,1.4333333333333333,left,range,0.9350343942642212,0.6658060550689697
94,1.5666666666666667,right,range,0.8167678713798523,0.6806482076644897
95,1.5833333333333333,right,range,0.816247820854187,0.6820772886276245
96,1.6,right,range,0.8113184571266174,0.682406485080719
97,1.6166666666666667,right,range,0.8135531544685364,0.6794793605804443
98,1.6333333333333333,right,range,0.8094556927680969,0.663489043712616
99,1.65,right,range,0.805722177028656,0.6712596416473389
105,1.75,left,range,0.6989278197288513,0.6784707903862
106,1.7666666666666666,left,range,0.6988816857337952,0.6825669407844543
107,1.7833333333333334,left,range,0.699829638004303,0.6377415657043457
108,1.8,left,range,0.6975147128105164,0.679284930229187
109,1.8166666666666667,left,range,0.6947945952415466,0.6771900653839111
110,1.8333333333333333,left,range,0.6914619207382202,0.6755316853523254
118,1.9666666666666666,right,range,0.5744742751121521,0.6786362528800964
119,1.9833333333333334,right,range,0.5709642767906189,0.6848742365837097
120,2.0,right,range,0.5720676779747009,0.6861391067504883
121,2.0166666666666666,right,range,0.5534585118293762,0.6689749360084534
122,2.033333333333333,right,range,0.5711038708686829,0.6790570616722107
123,2.05,right,range,0.568793535232544,0.6777057647705078
124,2.066666666666667,right,range,0.5633543729782104,0.6715698838233948
130,2.1666666666666665,left,range,0.4463089406490326,0.6863437294960022
131,2.183333333333333,left,range,0.44413068890571594,0.6843295693397522
132,2.2,left,range,0.44262611865997314,0.6852681636810303
133,2.216666666666667,left,range,0.44296956062316895,0.6826968193054199
134,2.2333333333333334,left,range,0.4423239827156067,0.6781346201896667
135,2.25,left,range,0.44020992517471313,0.6851029992103577
136,2.2666666666666666,left,range,0.4361725151538849,0.6656267642974854
